symbol,date,adjClose,adjHigh,adjLow,adjOpen,adjVolume,close,divCash,high,low,open,splitFactor,volume
AAPL,2016-03-08 00:00:00+00:00,23.5233431141,23.6933128308,23.3766569203,23.465134307,124728776,101.03,0.0,101.76,100.4,100.78,1.0,31182194
AAPL,2016-03-09 00:00:00+00:00,23.5442982847,23.6514024897,23.3463883406,23.588536978,108806732,101.12,0.0,101.58,100.27,101.31,1.0,27201683
AAPL,2016-03-10 00:00:00+00:00,23.5559400461,23.8050737403,23.3184481132,23.6118205009,134054308,101.17,0.0,102.24,100.15,101.41,1.0,33513577
AAPL,2016-03-11 00:00:00+00:00,23.8097304449,23.8143871495,23.6327756714,23.8050737403,109632948,102.26,0.0,102.28,101.5,102.24,1.0,27408237
AAPL,2016-03-14 00:00:00+00:00,23.8702676043,23.9610733433,23.6979695353,23.728238115,100304248,102.52,0.0,102.91,101.78,101.91,1.0,25076062
AAPL,2016-03-15 00:00:00+00:00,24.3499081745,24.4896093115,24.1799384579,24.205550333,160270936,104.58,0.0,105.18,103.85,103.96,1.0,40067734
AAPL,2016-03-16 00:00:00+00:00,24.6735491419,24.7527131195,24.3522365268,24.3568932314,153213972,105.97,0.0,106.31,104.59,104.61,1.0,38303493
AAPL,2016-03-17 00:00:00+00:00,24.6339671531,24.789966756,24.4383855613,24.5687732891,137682820,105.8,0.0,106.47,104.96,105.52,1.0,34420705
AAPL,2016-03-18 00:00:00+00:00,24.6619073805,24.7969518129,24.4919376638,24.7596981763,176820684,105.92,0.0,106.5,105.19,106.34,1.0,44205171
AAPL,2016-03-21 00:00:00+00:00,24.6595790282,25.0647123254,24.4803191859,24.6642357327,142010712,105.91,0.0,107.65,105.1401,105.93,1.0,35502678
AAPL,2016-03-22 00:00:00+00:00,24.8481755631,24.9808916432,24.4965943684,24.5059077775,129777500,106.72,0.0,107.29,105.21,105.25,1.0,32444375
AAPL,2016-03-23 00:00:00+00:00,24.7108027784,24.929667893,24.6572506759,24.7922951083,102813980,106.13,0.0,107.07,105.9,106.48,1.0,25703495
AAPL,2016-03-24 00:00:00+00:00,24.6036985734,24.7387430058,24.4220870953,24.5571315277,104531820,105.67,0.0,106.25,104.89,105.47,1.0,26132955
AAPL,2016-03-28 00:00:00+00:00,24.4919376638,24.7247728921,24.4616690841,24.6805341987,77645488,105.19,0.0,106.19,105.06,106.0,1.0,19411372
AAPL,2016-03-29 00:00:00+00:00,25.0716973822,25.0973092574,24.419758743,24.4220870953,124760332,107.68,0.0,107.79,104.88,104.89,1.0,31190083
AAPL,2016-03-30 00:00:00+00:00,25.5094276114,25.7096659078,25.2859057923,25.2975475537,182404596,109.56,0.0,110.42,108.6,108.65,1.0,45601149
AAPL,2016-03-31 00:00:00+00:00,25.3767115313,25.588591589,25.3510996562,25.546681248,103553796,108.99,0.0,109.9,108.88,109.72,1.0,25888449
AAPL,2016-04-01 00:00:00+00:00,25.6095467596,25.6118751119,25.192771701,25.3278161334,103495800,109.99,0.0,110.0,108.2,108.78,1.0,25873950
AAPL,2016-04-04 00:00:00+00:00,25.8726505676,26.1217842618,25.6747406235,25.7096659078,149424816,111.12,0.0,112.19,110.27,110.42,1.0,37356204
AAPL,2016-04-05 00:00:00+00:00,25.5676364185,25.7818448285,25.4768306795,25.49778585,106314608,109.81,0.0,110.73,109.42,109.51,1.0,26578652
AAPL,2016-04-06 00:00:00+00:00,25.835396931,25.8400536356,25.4256069292,25.6654272144,105616308,110.96,0.0,110.98,109.2,110.23,1.0,26404077
AAPL,2016-04-07 00:00:00+00:00,25.2719356786,25.7096659078,25.1743777179,25.6002333505,127207480,108.54,0.0,110.42,108.121,109.95,1.0,31801870
AAPL,2016-04-08 00:00:00+00:00,25.299875906,25.5583230094,25.1857866441,25.358084713,94326960,108.66,0.0,109.77,108.17,108.91,1.0,23581740
AAPL,2016-04-11 00:00:00+00:00,25.3836965882,25.7539046011,25.3394578948,25.3720548267,117630072,109.02,0.0,110.61,108.83,108.97,1.0,29407518
AAPL,2016-04-12 00:00:00+00:00,25.7143226123,25.728292726,25.299875906,25.4582038612,108929300,110.44,0.0,110.5,108.66,109.34,1.0,27232325
AAPL,2016-04-13 00:00:00+00:00,26.0868589776,26.1567095461,25.7981432945,25.7981432945,133029264,112.04,0.0,112.34,110.8,110.8,1.0,33257316
AAPL,2016-04-14 00:00:00+00:00,26.1008290913,26.1683513075,25.9215459655,25.9890681817,101895692,112.1,0.0,112.39,111.33,111.62,1.0,25473923
AAPL,2016-04-15 00:00:00+00:00,25.5769498276,26.1473961369,25.5490096002,26.1031574436,187755876,109.85,0.0,112.3,109.73,112.11,1.0,46938969
AAPL,2016-04-18 00:00:00+00:00,25.0251303366,25.3673981222,24.8993993133,25.3534280085,243285844,107.48,0.0,108.95,106.94,108.89,1.0,60821461
AAPL,2016-04-19 00:00:00+00:00,24.8924142565,25.1462046553,24.7340863012,25.1182644279,129539516,106.91,0.0,108.0,106.23,107.88,1.0,32384879
AAPL,2016-04-20 00:00:00+00:00,24.9436380067,25.1671598258,24.6945043124,24.8295487448,122444120,107.13,0.0,108.09,106.06,106.64,1.0,30611030
AAPL,2016-04-21 00:00:00+00:00,24.6735491419,24.897070961,24.5687732891,24.897070961,126210100,105.97,0.0,106.93,105.52,106.93,1.0,31552525
AAPL,2016-04-22 00:00:00+00:00,24.6060269257,24.7922951083,24.3592215837,24.4500273227,134732484,105.68,0.0,106.48,104.62,105.01,1.0,33683121
AAPL,2016-04-25 00:00:00+00:00,24.4663257887,24.5990418688,24.3336097086,24.4476989704,112126352,105.08,0.0,105.65,104.51,105.0,1.0,28031588
AAPL,2016-04-26 00:00:00+00:00,24.296356072,24.5175495389,24.1939085716,24.1939085716,224064660,104.35,0.0,105.3,103.91,103.91,1.0,56016165
AAPL,2016-04-27 00:00:00+00:00,22.7759420313,22.9831653845,22.2776746428,22.3521819158,458408568,97.82,0.0,98.71,95.68,96.0,1.0,114602142
AAPL,2016-04-28 00:00:00+00:00,22.0797646987,22.789912145,21.9447202663,22.7270466334,328970760,94.83,0.0,97.88,94.25,97.61,1.0,82242690
AAPL,2016-04-29 00:00:00+00:00,21.8259742999,22.0541528236,21.5395869691,21.884183107,274125912,93.74,0.0,94.72,92.51,93.99,1.0,68531478
AAPL,2016-05-02 00:00:00+00:00,21.8026907771,21.9051382775,21.513975094,21.8783622262,192640416,93.64,0.0,94.08,92.4,93.965,1.0,48160104
AAPL,2016-05-03 00:00:00+00:00,22.1612570286,22.2916447565,21.8120041862,21.9330785049,227325108,95.18,0.0,95.74,93.68,94.2,1.0,56831277
AAPL,2016-05-04 00:00:00+00:00,21.9307501526,22.328898393,21.8446011181,22.1659137332,164101900,94.19,0.0,95.9,93.82,95.2,1.0,41025475
